name,latitude,longitude
Malaysia Boleh!,1.3016491,103.840131091869
Nasty Cookie,1.300469,103.83939
365 Juices Bar,1.30137406,103.8398234
Tonkatsu By Ma Maison,1.3018604,103.8368156
Ootoya,1.3007652666666667,103.83953251428571
Fatburger & Buffalo's,1.301455,103.836667
Ippudo,1.301995478623612,103.83684398333334
Tsui Wah,1.302467,103.837613
Shihlin Taiwan Street Snacks,1.3010411,103.838459
Potato Corner,1.3011056,103.83845268461539
Papa Ayam Somerset,1.3005913,103.83836738038508
Food Republic,1.301023,103.838564
Genki Sushi,1.300340882146429,103.83948068334337
Green Monster Salads,1.2978809,103.8385019
Poke Theory,1.300260050327093,103.83734378251538
Hua Zai Roasted Duck,1.2979014532580015,103.83865234862984
name,latitude,longitude
Potato Corner,1.3011056,103.83845268461539
Shihlin Taiwan Street Snacks,1.3010411,103.838459
Green Monster Salads,1.2978809,103.8385019
Papa Ayam Somerset,1.3005913,103.83836738038508
Genki Sushi,1.300340882146429,103.83948068334337
Poke Theory,1.300260050327093,103.83734378251538
Food Republic,1.301023,103.838564
Hua Zai Roasted Duck,1.2979014532580015,103.83865234862984
name,latitude,longitude
Jew Kit,1.2982776421776843,103.83877355714286
Din Tai Fung,1.3017590746841021,103.83969065714287
HEYTEA,1.300467,103.838849
Artisan Boulangerie Co,1.2978833743913278,103.83849811553954
KOI The Express,1.301025957142857,103.8384569
Ma Maison Restaurant,1.3024913,103.83495123651011
Subway,1.3012564,103.83824508000001
Domino's,1.2986775,103.839404
name,latitude,longitude
Orh Kee Noodles,1.29892,103.83943
Tonkatsu By Ma Maison,1.3018604,103.8368156
6ix 6ix 六六,1.3018961307760235,103.84028315595
Go Noodle House,1.3011333500000002,103.8383702
Nasty Cookie,1.300469,103.83939
Malaysia Boleh!,1.3016491,103.840131091869
Josh's Grill,1.301025,103.838634
Ippudo,1.301995478623612,103.83684398333334
